Name,Period,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Lerwick,1981-90,-1.18,60.13,82,3.3,2.7,3.3,3.2,3.3,3.2,3.9,4.1,4.0,4.1,4.1,-
Helsinki,1981-90,24.97,60.37,11,3.0,2.0,2.4,2.7,2.7,2.9,3.0,3.3,3.3,2.9,2.8,-
Bergen,1981-90,5.32,60.4,41,-,3.5,3.5,3.3,3.2,3.2,3.5,3.9,3.8,3.6,3.7,-
Anchoraga,1961-90,-150.02,61.17,35,2.8,2.5,2.7,2.9,3.7,3.9,3.7,3.9,3.6,3.0,2.8,-
Fort Simpson,1971-86,-121.23,61.75,169,2.6,2.6,2.8,3.0,3.0,3.1,3.2,3.2,2.8,2.5,2.3,2.2
Valassaaret,1981-90,21.07,63.43,4,-,1.9,2.0,2.3,3.1,3.4,3.6,3.3,3.5,2.5,1.9,-
Reykjavik,1981-90,21.9,64.13,52,-,2.0,2.0,2.0,2.1,2.4,2.2,2.3,2.2,2.1,-,-
Arkangelsk,1981-90,64.58,64.58,13,-,1.9,2.2,2.0,2.0,2.1,2.2,2.5,2.8,2.2,-,-
Bonanza,1995-2000,-148.30,64.73,150,-,-,-,2.5,2.7,2.7,2.7,2.5,2.4,2.3,-,-
Fairbanks,1961-90,-147.87,64.82,138,-,2.2,2.1,2.4,3.2,3.7,3.8,3.6,3.3,2.6,2.1,-
Lulea,1981-90,22.13,65.55,17,-,1.9,2.0,2.1,2.6,3.0,3.0,3.2,2.7,2.0,-,-
Utsjoki Kevo,1981-90,27.03,69.75,107,-,1.9,2.0,2.3,2.5,3.1,3.4,3.9,3.2,2.6,-,-
Barrow,1961-90,-156.78,71.3,4,-,2.7,2.2,2.4,2.8,3.6,4.1,-,4.3,3.2,-,-
Barrow,1992,-156.61,71.32,8,-,-,-,-,4.7,4.1,3.9,4.0,-,-,-,-
Ny Alesund,1993,11.95,78.93,11,-,-,-,2.6,1.8,2.1,-,-,-,-,-,-
Ilorin,1998-99,4.33,8.32,350,9.5,9.9,7.9,10.0,8.0,7.8,4.9,4.3,5.9,5.7,5.9,9.2
